name,ticker,isin,productType,currency
Amundi Global HY Corp Bond ESG UCITS ETF DR HEUR C,GHYEH,LU2099296274,ETF,EUR
Amundi Global HY Corp Bond ESG UCITS ETF DR USD,GHYU,LU2099295466,ETF,USD
Amundi Global Hydrogen UCITS ETF Acc,AMEE,FR0010930644,ETF,EUR
Amundi Global Hydrogen UCITS ETF Acc,AMEE,FR0010930644,ETF,EUR
Amundi Global Hydrogen UCITS ETF Acc,ANRJ,FR0010930644,ETF,EUR
Amundi Global Hydrogen UCITS ETF Acc,ANRJ,FR0010930644,ETF,GBX
Amundi Global Luxury UCITS ETF EUR Acc,GLUX,LU1681048630,ETF,EUR
Amundi Global Luxury UCITS ETF EUR Acc,GLUX,LU1681048630,ETF,EUR
Amundi Global Luxury UCITS ETF EUR Acc,GLUX,LU1681048630,ETF,EUR
Amundi Global Luxury UCITS ETF EUR Acc,GLUX,LU1681048630,ETF,EUR
Amundi Global Luxury UCITS ETF EUR Acc,AMGLUX,LU1681048630,ETF,EUR
Amundi Global Luxury UCITS ETF USD Acc,LUXU,LU1681048713,ETF,USD
Amundi IBEX 35 DobleInversoD-2x UCITS ETF Acc,2INVE,FR0011036268,ETF,EUR
Amundi IBEX 35 UCITS ETF - Acc,AMES,FR0010655746,ETF,EUR
Amundi IBEX 35 UCITS ETF - Acc,AMIBX,FR0010655746,ETF,EUR
Amundi IBEX 35 UCITS ETF - Acc,CS1,FR0010655746,ETF,EUR
Amundi IBEX 35 UCITS ETF - Acc,CS1,FR0010655746,ETF,GBX
Amundi IBEX 35 UCITS ETF - Acc,AMES,FR0010655746,ETF,EUR
Amundi IBEX35 DobleApalancadoDiario2x UCITS ETF A,IBEXA,FR0011042753,ETF,EUR
Amundi Italy BTP Daily-2x Inverse UCITS ETF Acc,BTPS,FR0011023621,ETF,EUR
Amundi Italy BTP Daily-2x Inverse UCITS ETF Acc,BTP2S,FR0011023621,ETF,EUR
Amundi Italy BTP Government Bond 1-3Y UCITS ETF D,BTP13,LU1598691050,ETF,EUR
Amundi Italy BTP Government Bond 10Y UCITS ETF A,BTP10,LU1598691217,ETF,EUR
Amundi Japan TOPIX II UCITS ETF EUR Dist,LYY4,FR0010245514,ETF,EUR
Amundi Japan TOPIX II UCITS ETF EUR Dist,JPN,FR0010245514,ETF,EUR
Amundi Japan TOPIX II UCITS ETF EUR Dist,LYY4,FR0010245514,ETF,EUR
Amundi Japan TOPIX II UCITS ETF EUR Dist,JPN,FR0010245514,ETF,EUR
Amundi Japan TOPIX II UCITS ETF EUR Dist,JPNU,FR0010245514,ETF,USD
